epoch,gait_events_binary_accuracy,gait_events_categorical_accuracy,gait_events_loss,gait_sequences_binary_accuracy,gait_sequences_categorical_accuracy,gait_sequences_loss,loss,lr,val_gait_events_binary_accuracy,val_gait_events_categorical_accuracy,val_gait_events_loss,val_gait_sequences_binary_accuracy,val_gait_sequences_categorical_accuracy,val_gait_sequences_loss,val_loss
0,0.9891037344932556,0.97115159034729,0.015513214282691479,0.7117936611175537,1.0,0.013290515169501305,0.028803730383515358,0.001,0.9960074424743652,0.9900199174880981,0.006950819864869118,0.866503894329071,1.0,0.005688523408025503,0.01263935025781393
1,0.9972135424613953,0.9930371046066284,0.004451138433068991,0.8613948225975037,1.0,0.006754530593752861,0.011205663904547691,0.001,0.9965444207191467,0.9913612008094788,0.006579423323273659,0.895666241645813,1.0,0.0052697742357850075,0.01184919849038124
2,0.9980657696723938,0.9951667189598083,0.0029821775387972593,0.8890548944473267,1.0,0.005270171910524368,0.00825235340744257,0.001,0.9940089583396912,0.9850245118141174,0.006153813097625971,0.8964321613311768,1.0,0.00519173126667738,0.01134554110467434
3,0.9965862035751343,0.9914673566818237,0.004565112758427858,0.8812112808227539,1.0,0.006425098981708288,0.010990210808813572,0.001,0.9959495067596436,0.9898730516433716,0.005134746432304382,0.9159961938858032,1.0,0.004969900939613581,0.01010464783757925
4,0.996965765953064,0.9924184679985046,0.003899521194398403,0.8852437734603882,1.0,0.005385209806263447,0.009284726344048977,0.001,0.9970772862434387,0.992694616317749,0.0077314008958637714,0.9212459921836853,1.0,0.004844565410166979,0.012575958855450153
5,0.9974693655967712,0.9936731457710266,0.00346792652271688,0.9025481343269348,1.0,0.00481081148609519,0.0082787424325943,0.001,0.9962496161460876,0.9906233549118042,0.005220166407525539,0.9301960468292236,1.0,0.005381411872804165,0.010601579211652279
6,0.9979923367500305,0.9949784874916077,0.002668910427019,0.923288106918335,1.0,0.003938861656934023,0.006607768125832081,0.001,0.9954626560211182,0.9886597990989685,0.005513813346624374,0.9403513669967651,1.0,0.006216713227331638,0.011730530299246311
7,0.9964567422866821,0.9911426305770874,0.004468150436878204,0.9025432467460632,1.0,0.005200620274990797,0.009668773040175438,0.001,0.9966210722923279,0.9915529489517212,0.004608532413840294,0.9243756532669067,1.0,0.004544708412140608,0.009153238497674465
8,0.9977242350578308,0.994308590888977,0.0029638491105288267,0.8901376724243164,1.0,0.005068653728812933,0.008032496087253094,0.001,0.9969056248664856,0.9922665357589722,0.004762157332152128,0.9323667287826538,1.0,0.005257235839962959,0.010019390843808651
9,0.997646689414978,0.9941161870956421,0.003133156569674611,0.9286246299743652,1.0,0.0035108481533825397,0.0066440110094845295,0.001,0.993294894695282,0.9832432866096497,0.00629448564723134,0.9193933606147766,1.0,0.004626051057130098,0.010920537635684013
